abase	làm mất thể diện
abbess	nữ tu viện trưởng
abbey	tu viện
abbot	tu viện trưởng
abdicate	từ chức
abdomen	bụng
abdominal	bụng
abduction	bắt cóc
abed	cái giường
aberration	thác loạn
abet	đồng mưu
abeyance	hoản lại
abhorrence	điều gớm
abhorrent	đáng ghét
abidance	sự ở lại
abject	Khổ sở
abjure	bỏ giáo đạo
able-bodied	khỏe mạnh
ablution	lể rửa tội
abnegate	khước từ
abnormal	bất thường
abominable	đáng ghét
abominate	ghét
abomination	ghê gớm
aboriginal	bổn quốc
aborigines	thổ dân
aboveboard	ngay thẳng
abrade	cọ xát
abrasion	mài mòn
abridge	giãm bớt
abridgment	toát yếu
abrogate	bỏ
abrupt	đột ngột
abscess	nhọt
abscission	phép cắt đi
abscond	trốn tránh pháp luật
absence	vắng mặt
absent-minded	mất trí
absolution	tha tội
absolve	xá tội
absorb	hấp thụ
absorption	hấp thụ
abstain	Tránh ăn
abstemious	chừng mực
abstinence	kiêng cữ
abstruse	khó hiểu
absurd	vô lý
abundant	phong phú
abusive	mắng nhiếc
abut	giáp giới
abyss	vực sâu
academic	thuộc về lý thuyết
academician	hội viên hàn lâm viện
academy	học viện
accede	gia nhập
accelerate	Thúc giục
accept	Chấp nhận
access	truy cập
accessible	truy cập
accession	gia nhập
accessory	phụ kiện
acclaim	hoan hô
accommodate	chứa
accompaniment	hợp tấu
accompanist	người hòa âm
accompany	đồng hành
accomplice	đồng lõa
accomplish	đạt được
accordion	accordion
accost	níu kéo,
account	tài khoản
accouter	accouter
accredit	ủy nhiệm thơ
accumulate	tích trữ
accuracy	sự chính xác
accurate	chính xác
accursed	đáng ghét
accusation	buộc tội
accusatory	buộc tội
accuse	tố cáo
accustom	tập cho quen
acerbity	gay gắt
acetate	acetate
acetic	axetic
ache	nhức
Achillean	Achillean
achromatic	không phân biệt màu sắc
acid	chua
acidify	tính chua cay
acknowledge	công nhận
acknowledgment	nhìn nhận
acme	tối cao điểm
acoustic	acoustic
acquaint	Làm quen
acquiesce	đồng ý ngầm
acquiescence	sự bằng lòng
acquire	có được, thu được
acquisition	mua lại
acquit	làm xong
acquittal	sự làm tròn
acquittance	sự trả nợ
acreage	diện tích
acrid	chua cay
